Q(Å⁻¹)	Intensity	Error
1.164703683601201190e-01	8.957843777141926876e-05	8.957843777141927045e-07
1.171593909228773739e-01	5.486679313499430601e-05	5.486679313499430474e-07
1.178482127362118770e-01	3.359191416428222748e-05	3.359191416428222642e-07
1.185368326198461969e-01	1.343676566571288930e-05	1.343676566571289004e-07
1.192252493938489588e-01	3.247218369213948543e-05	3.247218369213948713e-07
1.199134618786367595e-01	5.934571502356526741e-05	5.934571502356527250e-07
1.206014688949762770e-01	7.502194163356362894e-05	7.502194163356363318e-07
1.212892692639862408e-01	6.830355880070720378e-05	6.830355880070720801e-07
1.219768618071394445e-01	3.247218369213948543e-05	3.247218369213948713e-07
1.226642453462648830e-01	1.679595708214111374e-05	1.679595708214111321e-07
1.233514187035494869e-01	1.119730472142740859e-05	1.119730472142740881e-07
1.240383807015405654e-01	3.807083605285318888e-05	3.807083605285318888e-07
1.247251301631473464e-01	7.950086352213459712e-05	7.950086352213460094e-07
1.254116659116434052e-01	8.286005493856283004e-05	8.286005493856283470e-07
1.260979867706684410e-01	5.150760171856607987e-05	5.150760171856608157e-07
1.267840915642304001e-01	3.471164463642496275e-05	3.471164463642496571e-07
1.274699791167073493e-01	1.119730472142740859e-05	1.119730472142740881e-07
1.281556482528497243e-01	1.231703519357014895e-05	1.231703519357014810e-07
1.288410977977821337e-01	3.135245321999674339e-05	3.135245321999674254e-07
1.295263265770054684e-01	5.934571502356526741e-05	5.934571502356527250e-07
1.302113334163988723e-01	5.486679313499430601e-05	5.486679313499430474e-07
1.308961171422218517e-01	4.814841030213786051e-05	4.814841030213785840e-07
1.315806765811160794e-01	2.799326180356852064e-05	2.799326180356851937e-07
1.322650105601076709e-01	7.838113304999185847e-06	7.838113304999185635e-08
1.329491179066090156e-01	1.343676566571288930e-05	1.343676566571289004e-07
1.336329974484208039e-01	4.031029699713867297e-05	4.031029699713867276e-07
1.343166480137340246e-01	3.583137510856770479e-05	3.583137510856770500e-07
1.350000684311322141e-01	5.934571502356526741e-05	5.934571502356527250e-07
1.356832575295929544e-01	3.359191416428222748e-05	3.359191416428222642e-07
1.363662141384904547e-01	1.791568755428385240e-05	1.791568755428385250e-07
1.370489370875971613e-01	4.478921888570963099e-06	4.478921888570963125e-08
1.377314252070858669e-01	1.679595708214111374e-05	1.679595708214111321e-07
1.384136773275317922e-01	3.135245321999674339e-05	3.135245321999674254e-07
1.390956922799145845e-01	4.254975794142415029e-05	4.254975794142415135e-07
1.397774688956202049e-01	3.807083605285318888e-05	3.807083605285318888e-07
1.404590060064429546e-01	2.463407038714029789e-05	2.463407038714029620e-07
1.411403024445875842e-01	1.007757424928466824e-05	1.007757424928466819e-07
1.418213570426712089e-01	1.119730472142740775e-06	1.119730472142740781e-08
1.425021686337253901e-01	1.679595708214111374e-05	1.679595708214111321e-07
1.431827360511979952e-01	3.471164463642496275e-05	3.471164463642496571e-07
1.438630581289552790e-01	4.590894935785237642e-05	4.590894935785237981e-07
1.445431337012839657e-01	3.695110558071044684e-05	3.695110558071044959e-07
1.452229616028930526e-01	2.239460944285481719e-05	2.239460944285481761e-07
1.459025406689159754e-01	1.231703519357014895e-05	1.231703519357014810e-07
1.465818697349124955e-01	2.239460944285481549e-06	2.239460944285481563e-08
1.472609476368708092e-01	1.343676566571288930e-05	1.343676566571289004e-07
1.479397732112094910e-01	1.567622660999837169e-05	1.567622660999837127e-07
1.486183452947793249e-01	3.359191416428222748e-05	3.359191416428222642e-07
1.492966627248655809e-01	4.031029699713867297e-05	4.031029699713867276e-07
1.499747243391898466e-01	2.351433991499755585e-05	2.351433991499755690e-07
1.506525289759121089e-01	1.007757424928466824e-05	1.007757424928466819e-07
1.513300754736324472e-01	4.478921888570963099e-06	4.478921888570963125e-08
1.520073626713934201e-01	1.119730472142740859e-05	1.119730472142740881e-07
1.526843894086820363e-01	2.687353133142577859e-05	2.687353133142578008e-07
1.533611545254312258e-01	4.031029699713867297e-05	4.031029699713867276e-07
1.540376568620225595e-01	2.575380085928303994e-05	2.575380085928304078e-07
1.547138952592876648e-01	2.127487897071207514e-05	2.127487897071207567e-07
1.553898685585105299e-01	1.343676566571288930e-05	1.343676566571289004e-07
1.560655756014292239e-01	8.957843777141926198e-06	8.957843777141926251e-08
1.567410152302382564e-01	1.903541802642659444e-05	1.903541802642659444e-07
1.574161862875902429e-01	2.127487897071207514e-05	2.127487897071207567e-07
1.580910876165978474e-01	2.687353133142577859e-05	2.687353133142578008e-07
1.587657180608361418e-01	2.799326180356852064e-05	2.799326180356851937e-07
