Q(Å⁻¹)	Intensity	Error
7.389547541580460122e-02	1.290135956226577283e-03	1.290135956226577385e-05
7.440808379079304202e-02	1.087739517870260457e-03	1.087739517870260484e-05
7.491811357973748864e-02	6.524175694502498376e-04	6.524175694502498342e-06
7.542786218676308940e-02	3.369504951406836397e-04	3.369504951406836651e-06
7.593732769868642707e-02	1.469918267392244051e-04	1.469918267392244000e-06
7.644650820338662334e-02	2.871994153212538143e-04	2.871994153212538415e-06
7.695769345125400007e-02	6.139735532261449873e-04	6.139735532261449839e-06
7.746629690408352031e-02	1.009720779062518465e-03	1.009720779062518418e-05
7.797460961117784473e-02	1.238123463688082550e-03	1.238123463688082618e-05
7.848262966474282842e-02	1.208725098340237549e-03	1.208725098340237543e-05
7.899264154056109821e-02	1.005197953624388432e-03	1.005197953624388445e-05
7.950006922834432221e-02	5.619610606876502537e-04	5.619610606876503011e-06
8.000948222558545986e-02	2.227491528279015973e-04	2.227491528279016074e-06
8.051402756395047156e-02	4.635896074083231384e-05	4.635896074083231257e-07
8.102055440619501669e-02	1.266391122676394716e-04	1.266391122676394818e-06
8.152905675475345670e-02	4.466290120153356487e-04	4.466290120153356656e-06
8.203497214335991883e-02	8.876044922330088641e-04	8.876044922330088234e-06
8.254057963912472817e-02	1.260737590878732283e-03	1.260737590878732310e-05
8.304587734440688207e-02	1.348932686922267067e-03	1.348932686922267026e-05
8.355313736649698508e-02	1.174803907554262733e-03	1.174803907554262834e-05
8.405780838572975144e-02	8.570754205256314638e-04	8.570754205256315519e-06
8.456216392003203242e-02	4.477597183748681571e-04	4.477597183748682011e-06
8.506620207646160836e-02	1.311619377057694779e-04	1.311619377057694754e-06
8.556992096326754282e-02	2.261412719064990613e-05	2.261412719064990709e-07
8.607558551777572120e-02	1.707366602894068094e-04	1.707366602894068188e-06
8.657865873543084401e-02	3.991393449149708943e-04	3.991393449149708706e-06
8.708140700692498792e-02	6.874694665957571628e-04	6.874694665957571628e-06
8.758382844534835787e-02	8.536833014470339388e-04	8.536833014470339456e-06
8.808818209739362193e-02	8.412455314921766722e-04	8.412455314921767332e-06
8.858994272039463769e-02	6.886001729552896711e-04	6.886001729552896982e-06
8.909137084850358990e-02	4.586315612358973087e-04	4.586315612358973324e-06
8.909362877868437502e-02	4.285377102628157319e-04	4.285377102628157760e-06
8.958795173985122096e-02	2.249671880651430377e-04	2.249671880651430478e-06
8.959246459976548393e-02	2.103113828730441680e-04	2.103113828730441833e-06
9.008420242168677095e-02	1.003075348847158517e-04	1.003075348847158433e-06
9.009322209348021027e-02	8.819509604353463494e-05	8.819509604353463155e-07
9.058012106489493620e-02	1.127735002027585663e-04	1.127735002027585680e-06
9.059589482361632418e-02	1.209855804699769977e-04	1.209855804699769951e-06
9.107570584158422577e-02	2.409120274254302808e-04	2.409120274254303011e-06
9.109597262934464312e-02	2.498861054566814724e-04	2.498861054566814843e-06
9.157095492509371992e-02	3.922430482630651668e-04	3.922430482630651770e-06
9.159570853457439654e-02	4.149692339484258486e-04	4.149692339484258587e-06
9.206586648999989797e-02	5.253099803789165658e-04	5.253099803789166166e-06
9.209510066370178716e-02	5.348241080588703785e-04	5.348241080588703819e-06
9.256043871212324414e-02	5.308181976124702909e-04	5.308181976124702842e-06
