BetaPara	BetaPerp	DeltaPara	DeltaPerp	Delta	Beta	Energy
0.00139614	0.00131771	0.00208543	0.00180022	0.00202881	0.00138565	310.2
0.00139368	0.00131532	0.00208379	0.00179857	0.00202725	0.00138319	310.25
0.00139121	0.00131293	0.00208215	0.00179674	0.00202566	0.00138074	310.3
0.00138875	0.00131054	0.00208052	0.0017947	0.00202404	0.00137829	310.35
0.00138629	0.00130818	0.00207888	0.00179233	0.00202237	0.00137585	310.4
0.00138383	0.00130596	0.0020772	0.0017894	0.00202059	0.00137342	310.45
0.00138149	0.00130496	0.00207552	0.00178643	0.00201881	0.00137128	310.5
0.00137916	0.00130408	0.00207391	0.00178397	0.00201715	0.00136916	310.55
0.00137683	0.00130321	0.00207232	0.00178174	0.00201555	0.00136704	310.6
0.0013745	0.00130236	0.00207074	0.00177962	0.00201397	0.00136493	310.65
0.00137218	0.00130151	0.00206917	0.00177758	0.00201241	0.00136282	310.7
0.00136987	0.00130066	0.00206761	0.00177556	0.00201087	0.00136071	310.75
0.00136755	0.00129982	0.00206605	0.00177353	0.00200933	0.0013586	310.8
0.00136524	0.00129899	0.00206451	0.00177144	0.00200779	0.0013565	310.85
0.00136294	0.00129818	0.00206298	0.00176918	0.00200624	0.0013544	310.9
0.00136062	0.00129762	0.00206147	0.0017665	0.00200465	0.00135233	310.95
0.00135827	0.0012979	0.00205995	0.0017639	0.00200306	0.00135034	311.0
0.00135591	0.00129844	0.0020584	0.00176189	0.00200154	0.00134838	311.05
0.00135356	0.00129901	0.00205682	0.00176022	0.00200003	0.00134643	311.1
0.00135121	0.0012996	0.00205523	0.00175878	0.00199854	0.00134447	311.15
0.00134887	0.00130021	0.00205361	0.00175755	0.00199706	0.00134252	311.2
0.00134653	0.00130084	0.00205198	0.00175655	0.00199559	0.00134057	311.25
0.00134419	0.0013015	0.00205032	0.00175579	0.00199414	0.00133862	311.3
0.00134185	0.00130218	0.00204862	0.00175532	0.00199268	0.00133668	311.35
0.00133953	0.00130284	0.00204686	0.0017553	0.00199123	0.00133474	311.4
0.00133726	0.00130318	0.00204502	0.00175584	0.00198977	0.0013328	311.45
0.00133514	0.00130247	0.00204315	0.00175646	0.0019883	0.00133087	311.5
0.00133307	0.00130141	0.00204135	0.00175662	0.00198683	0.00132893	311.55
0.00133102	0.00130029	0.00203959	0.0017564	0.00198535	0.001327	311.6
0.00132897	0.00129918	0.00203785	0.00175598	0.00198385	0.00132507	311.65
0.00132692	0.00129808	0.00203613	0.00175539	0.00198235	0.00132314	311.7
0.00132488	0.00129697	0.00203439	0.00175466	0.00198082	0.00132122	311.75
0.00132284	0.00129587	0.00203265	0.00175379	0.00197926	0.0013193	311.8
0.0013208	0.00129478	0.00203088	0.00175274	0.00197766	0.00131738	311.85
0.00131876	0.00129371	0.00202906	0.00175139	0.00197597	0.00131547	311.9
0.00131677	0.00129296	0.0020271	0.00174956	0.00197411	0.00131363	311.95
0.00131501	0.00129301	0.00202515	0.00174774	0.00197226	0.0013121	312.0
0.0013133	0.00129343	0.00202334	0.00174642	0.00197059	0.00131065	312.05
0.00131159	0.00129389	0.00202159	0.00174545	0.00196902	0.0013092	312.1
0.00130988	0.00129435	0.00201988	0.0017447	0.0019675	0.00130776	312.15
0.00130818	0.00129482	0.0020182	0.00174414	0.00196603	0.00130631	312.2
0.00130647	0.00129531	0.00201653	0.00174376	0.00196459	0.00130487	312.25
0.00130477	0.00129581	0.00201486	0.00174359	0.00196318	0.00130343	312.3
0.00130308	0.00129633	0.00201321	0.00174365	0.00196181	0.001302	312.35
0.00130138	0.00129683	0.00201156	0.00174406	0.00196048	0.00130056	312.4
0.00129972	0.00129704	0.00200994	0.0017449	0.00195922	0.00129912	312.45
0.00129799	0.00129654	0.00200833	0.0017458	0.00195798	0.00129754	312.5
0.00129629	0.0012958	0.00200669	0.0017464	0.00195667	0.00129594	312.55
0.00129459	0.00129501	0.00200504	0.00174679	0.00195534	0.00129436	312.6
0.00129289	0.00129422	0.00200339	0.00174707	0.00195398	0.00129277	312.65
0.0012912	0.00129344	0.0020017	0.00174732	0.00195259	0.00129118	312.7
0.00128951	0.00129266	0.002	0.00174755	0.00195118	0.0012896	312.75
0.00128782	0.00129189	0.00199826	0.0017478	0.00194974	0.00128802	312.8
0.00128614	0.00129111	0.00199647	0.00174811	0.00194826	0.00128644	312.85
0.00128446	0.00129033	0.00199458	0.00174859	0.00194671	0.00128487	312.9
0.00128289	0.00128934	0.00199244	0.00174947	0.00194499	0.00128337	312.95
0.00128179	0.00128753	0.00199033	0.00175026	0.00194327	0.00128219	313.0
0.00128081	0.0012855	0.00198851	0.00175047	0.00194176	0.00128109	313.05
0.00127982	0.00128348	0.00198685	0.00175035	0.00194035	0.00127999	313.1
0.00127884	0.00128145	0.00198529	0.00174999	0.00193899	0.00127889	313.15
0.00127786	0.00127943	0.00198383	0.00174939	0.0019377	0.0012778	313.2
0.00127688	0.00127742	0.00198248	0.00174855	0.00193647	0.0012767	313.25
0.0012759	0.00127541	0.00198123	0.00174741	0.00193531	0.00127561	313.3
0.00127493	0.00127341	0.00198011	0.00174592	0.00193421	0.00127452	313.35
0.00127395	0.00127142	0.00197919	0.00174386	0.00193322	0.00127342	313.4
0.00127284	0.00126985	0.00197863	0.00174068	0.00193243	0.00127227	313.45
0.00127095	0.00127062	0.00197804	0.00173759	0.00193163	0.00127069	313.5
0.00126901	0.00127162	0.00197705	0.0017357	0.0019306	0.00126908	313.55
0.00126706	0.00127263	0.00197588	0.00173436	0.00192949	0.00126747	313.6
0.00126512	0.00127366	0.00197459	0.00173341	0.0019283	0.00126587	313.65
0.00126319	0.00127471	0.00197318	0.00173279	0.00192706	0.00126427	313.7
0.00126125	0.00127578	0.00197168	0.00173247	0.00192575	0.00126267	313.75
0.00125932	0.00127687	0.00197007	0.00173244	0.00192439	0.00126107	313.8
0.00125739	0.00127798	0.00196833	0.00173279	0.00192295	0.00125947	313.85
0.00125547	0.0012791	0.00196639	0.00173365	0.00192139	0.00125788	313.9
0.00125369	0.00127988	0.00196409	0.00173548	0.0019196	0.00125638	313.95
0.00125252	0.00127914	0.00196174	0.0017374	0.00191778	0.00125525	314.0
0.00125151	0.00127808	0.00195975	0.00173849	0.00191618	0.00125424	314.05
0.0012505	0.00127701	0.0019579	0.00173928	0.00191469	0.00125323	314.1
0.0012495	0.00127595	0.00195614	0.0017399	0.00191325	0.00125223	314.15
0.0012485	0.00127489	0.00195444	0.0017404	0.00191185	0.00125122	314.2
0.0012475	0.00127383	0.00195278	0.00174083	0.00191048	0.00125022	314.25
0.0012465	0.00127277	0.00195114	0.00174119	0.00190912	0.00124921	314.3
0.00124551	0.00127171	0.00194952	0.00174154	0.00190777	0.00124821	314.35
0.00124451	0.00127065	0.00194789	0.00174193	0.00190642	0.00124721	314.4
0.00124356	0.00126943	0.00194621	0.00174233	0.00190503	0.00124623	314.45
0.00124277	0.0012681	0.00194457	0.00174267	0.00190366	0.00124539	314.5
0.00124201	0.00126666	0.00194305	0.00174289	0.00190239	0.00124456	314.55
0.00124126	0.0012652	0.0019416	0.00174296	0.00190116	0.00124373	314.6
0.00124051	0.00126374	0.00194021	0.00174292	0.00189998	0.00124291	314.65
0.00123976	0.00126228	0.00193887	0.0017428	0.00189883	0.00124208	314.7
0.00123901	0.00126083	0.00193759	0.0017426	0.00189772	0.00124126	314.75
0.00123826	0.00125938	0.00193635	0.00174233	0.00189665	0.00124044	314.8
0.00123751	0.00125793	0.00193519	0.00174197	0.00189563	0.00123962	314.85
0.00123676	0.00125649	0.00193413	0.00174152	0.00189469	0.00123879	314.9
0.00123595	0.0012551	0.00193324	0.00174098	0.0018939	0.00123792	314.95
0.00123484	0.00125376	0.00193236	0.00174038	0.0018931	0.00123679	315.0
0.00123366	0.00125245	0.00193131	0.00173973	0.00189216	0.0012356	315.05
0.00123248	0.00125114	0.00193019	0.00173903	0.00189114	0.00123441	315.1
0.0012313	0.00124984	0.00192902	0.00173825	0.00189007	0.00123322	315.15
0.00123013	0.00124853	0.00192782	0.00173738	0.00188896	0.00123203	315.2
0.00122895	0.00124723	0.00192659	0.00173637	0.00188781	0.00123085	315.25
0.00122778	0.00124593	0.00192533	0.00173519	0.00188661	0.00122966	315.3
0.00122661	0.00124463	0.00192403	0.00173377	0.00188536	0.00122848	315.35
0.00122544	0.00124333	0.0019227	0.00173192	0.00188402	0.0012273	315.4
