BetaPara	BetaPerp	DeltaPara	DeltaPerp	Delta	Beta	Energy
2.235387043656012e-06	2.235387043656012e-06	5.716643031576414e-06	5.716643031576414e-06	5.716643031576414e-06	2.235387043656012e-06	282.7
2.254417291360481e-06	2.254417291360481e-06	5.512008210237742e-06	5.512008210237742e-06	5.512008210237742e-06	2.254417291360481e-06	282.8
2.2814612934549077e-06	2.2814612934549077e-06	5.30331645411027e-06	5.30331645411027e-06	5.30331645411027e-06	2.2814612934549077e-06	282.9
2.3038337652393303e-06	2.3038337652393303e-06	5.088145482069988e-06	5.088145482069988e-06	5.088145482069988e-06	2.3038337652393303e-06	283.0
2.3213535597774895e-06	2.3213535597774895e-06	4.856074594405083e-06	4.856074594405083e-06	4.856074594405083e-06	2.3213535597774895e-06	283.1
2.343351494022498e-06	2.343351494022498e-06	4.603067621650988e-06	4.603067621650988e-06	4.603067621650988e-06	2.343351494022498e-06	283.2
2.3737513968304357e-06	2.3737513968304357e-06	4.333494115193073e-06	4.333494115193073e-06	4.333494115193073e-06	2.3737513968304357e-06	283.3
2.4029278416467596e-06	2.4029278416467596e-06	4.044778328662462e-06	4.044778328662462e-06	4.044778328662462e-06	2.4029278416467596e-06	283.4
2.4363509821812506e-06	2.4363509821812506e-06	3.729608023761491e-06	3.729608023761491e-06	3.729608023761491e-06	2.4363509821812506e-06	283.5
2.4773631424869335e-06	2.4773631424869335e-06	3.387213926107041e-06	3.387213926107041e-06	3.387213926107041e-06	2.4773631424869335e-06	283.6
2.5188395994442807e-06	2.5188395994442807e-06	3.0088564491938736e-06	3.0088564491938736e-06	3.0088564491938736e-06	2.5188395994442807e-06	283.7
2.5776720132311806e-06	2.5776720132311806e-06	2.5914793725368035e-06	2.5914793725368035e-06	2.5914793725368035e-06	2.5776720132311806e-06	283.8
2.635244576167167e-06	2.635244576167167e-06	2.1253692653554182e-06	2.1253692653554182e-06	2.1253692653554182e-06	2.635244576167167e-06	283.9
2.71077862131847e-06	2.71077862131847e-06	1.5927510615310516e-06	1.5927510615310516e-06	1.5927510615310516e-06	2.71077862131847e-06	284.0
2.8075191179913093e-06	2.8075191179913093e-06	9.863527794104373e-07	9.863527794104373e-07	9.863527794104373e-07	2.8075191179913093e-06	284.1
2.918577695113878e-06	2.918577695113878e-06	2.8488730688522013e-07	2.8488730688522013e-07	2.8488730688522013e-07	2.918577695113878e-06	284.2
3.030578803621606e-06	3.030578803621606e-06	-5.754275002970813e-07	-5.754275002970813e-07	-5.754275002970813e-07	3.030578803621606e-06	284.3
3.207400129807331e-06	3.207400129807331e-06	-1.6645683568295761e-06	-1.6645683568295761e-06	-1.6645683568295761e-06	3.207400129807331e-06	284.4
3.4496355234586406e-06	3.4496355234586406e-06	-3.111930924076915e-06	-3.111930924076915e-06	-3.111930924076915e-06	3.4496355234586406e-06	284.5
3.906185279396095e-06	3.906185279396095e-06	-5.201970245760309e-06	-5.201970245760309e-06	-5.201970245760309e-06	3.906185279396095e-06	284.6
5.031958082026604e-06	5.031958082026604e-06	-8.50459456111129e-06	-8.50459456111129e-06	-8.50459456111129e-06	5.031958082026604e-06	284.7
9.002318541954707e-06	9.002318541954707e-06	-1.2828244510698093e-05	-1.2828244510698093e-05	-1.2828244510698093e-05	9.002318541954707e-06	284.8
1.8832710821861243e-05	1.8832710821861243e-05	-1.382986067936654e-05	-1.382986067936654e-05	-1.382986067936654e-05	1.8832710821861243e-05	284.9
2.8296948703127357e-05	2.8296948703127357e-05	-7.306632107072312e-06	-7.306632107072312e-06	-7.306632107072312e-06	2.8296948703127357e-05	285.0
2.88522768800757e-05	2.88522768800757e-05	1.4610753824355765e-06	1.4610753824355765e-06	1.4610753824355765e-06	2.88522768800757e-05	285.1
2.767887055869127e-05	2.767887055869127e-05	8.177472531853273e-06	8.177472531853273e-06	8.177472531853273e-06	2.767887055869127e-05	285.2
2.3708130585088113e-05	2.3708130585088113e-05	1.2977288762118358e-05	1.2977288762118358e-05	1.2977288762118358e-05	2.3708130585088113e-05	285.3
2.0112342049992778e-05	2.0112342049992778e-05	1.5718871068495882e-05	1.5718871068495882e-05	1.5718871068495882e-05	2.0112342049992778e-05	285.4
1.6112179910780824e-05	1.6112179910780824e-05	1.7335727320386375e-05	1.7335727320386375e-05	1.7335727320386375e-05	1.6112179910780824e-05	285.5
1.2009436372933837e-05	1.2009436372933837e-05	1.7413577569848723e-05	1.7413577569848723e-05	1.7413577569848723e-05	1.2009436372933837e-05	285.6
8.943141337189686e-06	8.943141337189686e-06	1.625743155897793e-05	1.625743155897793e-05	1.625743155897793e-05	8.943141337189686e-06	285.7
6.8831917104961515e-06	6.8831917104961515e-06	1.4615931388789497e-05	1.4615931388789497e-05	1.4615931388789497e-05	6.8831917104961515e-06	285.8
5.722390172892595e-06	5.722390172892595e-06	1.29534982795572e-05	1.29534982795572e-05	1.29534982795572e-05	5.722390172892595e-06	285.9
5.097960641656797e-06	5.097960641656797e-06	1.1549207374650262e-05	1.1549207374650262e-05	1.1549207374650262e-05	5.097960641656797e-06	286.0
