Energy,Intensity
2.972999999999973397e+02,3.023917577838943203e+02
2.973999999999973056e+02,3.024243327188707440e+02
2.974999999999972715e+02,3.015931163354460978e+02
2.975999999999972943e+02,3.010857806621044688e+02
2.976999999999973170e+02,3.009413651170424941e+02
2.977999999999972829e+02,3.014634478927299597e+02
2.978999999999972488e+02,3.015086235196080793e+02
2.979999999999972715e+02,3.003876417262190444e+02
2.980999999999972943e+02,2.995914749627534661e+02
2.981999999999972601e+02,2.995329663392338375e+02
2.982999999999972260e+02,3.001643645362490815e+02
2.983999999999972488e+02,2.996026362970632135e+02
2.984999999999972715e+02,3.000390899219716516e+02
2.985999999999972374e+02,2.997442488826039835e+02
2.986999999999972033e+02,2.991284311002247591e+02
2.987999999999972260e+02,2.992390343678189879e+02
2.988999999999972488e+02,2.997649554304184107e+02
2.989999999999972147e+02,2.994555945556930396e+02
2.990999999999971806e+02,2.989221736824827644e+02
2.991999999999972033e+02,2.984890280548470969e+02
2.992999999999972260e+02,2.993030731547183336e+02
2.993999999999971919e+02,2.987973283502942081e+02
2.994999999999971578e+02,2.988016211711825463e+02
2.995999999999971806e+02,2.985810711850710959e+02
2.996999999999972033e+02,2.990752253730966572e+02
2.997999999999971692e+02,2.972192873917325073e+02
2.998999999999971351e+02,2.976170046210954183e+02
2.999999999999971578e+02,2.972650438120249419e+02
3.000999999999971806e+02,2.970036615236988951e+02
3.001999999999971465e+02,2.967926314992045604e+02
3.002999999999971124e+02,2.964795585970051093e+02
3.003999999999971351e+02,2.969077043509002465e+02
3.004999999999971578e+02,2.963738036918259695e+02
3.005999999999971237e+02,2.954167824044847634e+02
3.006999999999970896e+02,2.955015529910861005e+02
3.007999999999971124e+02,2.948332870382060946e+02
3.008999999999971351e+02,2.960215146082169895e+02
3.009999999999971010e+02,2.952194894068331337e+02
3.010999999999970669e+02,2.950980278275800970e+02
3.011999999999970896e+02,2.952079240423221904e+02
3.012999999999971124e+02,2.942506249842175521e+02
3.013999999999970782e+02,2.957139718693972554e+02
3.014999999999970441e+02,2.956535946061968048e+02
3.015999999999970669e+02,2.949012146157925258e+02
3.016999999999970896e+02,2.959654049140173129e+02
3.017999999999970555e+02,2.940447210929016819e+02
3.018999999999970214e+02,2.934948612408777535e+02
3.019999999999970441e+02,2.942313577939950733e+02
3.020999999999970669e+02,2.930799222241862481e+02
3.021999999999970328e+02,2.908419231837580128e+02
3.022999999999969987e+02,2.907609656321810121e+02
3.023999999999970214e+02,2.927010429029569991e+02
3.024999999999970441e+02,2.920632559783844044e+02
3.025999999999970100e+02,2.924337769248251107e+02
3.026999999999969759e+02,2.914176157167748329e+02
3.027999999999969987e+02,2.909997727330118096e+02
