Energy,Processed_Intensity
3.011999999999970896e+02,1.341135795782212758e+00
3.012999999999971124e+02,1.337000884382573584e+00
3.013999999999970782e+02,1.348201213763305040e+00
3.014999999999970441e+02,1.349756266547774253e+00
3.015999999999970669e+02,1.346919050542797480e+00
3.016999999999970896e+02,1.355626467400656843e+00
3.017999999999970555e+02,1.345353185932990137e+00
3.018999999999970214e+02,1.343792942354193665e+00
3.019999999999970441e+02,1.350434150053697602e+00
3.020999999999970669e+02,1.345034957538639775e+00
3.021999999999970328e+02,1.332679715212183646e+00
3.022999999999969987e+02,1.334099878940734563e+00
3.023999999999970214e+02,1.348467475846466090e+00
3.024999999999970441e+02,1.346336955246704825e+00
3.025999999999970100e+02,1.350673569472329527e+00
3.026999999999969759e+02,1.346109846744584893e+00
3.027999999999969987e+02,1.345384774785858495e+00
3.028999999999970214e+02,1.342576786810580014e+00
3.029999999999969873e+02,1.343695207227592281e+00
3.030999999999969532e+02,1.341282778725049862e+00
3.031999999999969759e+02,1.339314277861227254e+00
3.032999999999969987e+02,1.334273809359790564e+00
3.033999999999969646e+02,1.333875218181699296e+00
3.034999999999969305e+02,1.333363710065854191e+00
3.035999999999969532e+02,1.326297370231769301e+00
3.036999999999969759e+02,1.326899886043666044e+00
3.037999999999969418e+02,1.317373200926567289e+00
3.038999999999969077e+02,1.314052907668387116e+00
3.039999999999969305e+02,1.316850046730073442e+00
3.040999999999969532e+02,1.308693092858945084e+00
3.041999999999969191e+02,1.298406467309136003e+00
3.042999999999968850e+02,1.299201933366077366e+00
3.043999999999969077e+02,1.293583216614334619e+00
3.044999999999969305e+02,1.286435831927064122e+00
3.045999999999968963e+02,1.278136772066560845e+00
3.046999999999968622e+02,1.278241335439772586e+00
3.047999999999968850e+02,1.274015220029213191e+00
3.048999999999969077e+02,1.265365952408916916e+00
3.049999999999968736e+02,1.258413955887796698e+00
3.050999999999968395e+02,1.256778450494673516e+00
3.051999999999968622e+02,1.251042138959610694e+00
3.052999999999968850e+02,1.242815581657439328e+00
3.053999999999968509e+02,1.240599826491144198e+00
3.054999999999968168e+02,1.232927421583419392e+00
3.055999999999968395e+02,1.223856523385109085e+00
3.056999999999968622e+02,1.215337204846357100e+00
3.057999999999968281e+02,1.212892472103983987e+00
3.058999999999967940e+02,1.206925624170916977e+00
3.059999999999968168e+02,1.202419794940654985e+00
3.060999999999968395e+02,1.198155857044971739e+00
3.061999999999968054e+02,1.192838143928492967e+00
3.062999999999967713e+02,1.178475727395853268e+00
3.063999999999967940e+02,1.183066052074706276e+00
3.064999999999968168e+02,1.177641497791032776e+00
3.065999999999967827e+02,1.172102596292146970e+00
3.066999999999967486e+02,1.169509359193896536e+00
3.067999999999967713e+02,1.170853143780060446e+00
3.068999999999967940e+02,1.165484111336897888e+00
3.069999999999967599e+02,1.158502926787654319e+00
3.070999999999967258e+02,1.157836896132480087e+00
3.071999999999967486e+02,1.147382739551702890e+00
3.072999999999967713e+02,1.134423969791374276e+00
3.073999999999967372e+02,1.127637546951427483e+00
3.074999999999967031e+02,1.126302489962528242e+00
3.075999999999967258e+02,1.122364520491492712e+00
3.076999999999967486e+02,1.126334908570425286e+00
