Energy,Intensity
2.996999999999972033e+02,3.132070402262569360e+02
2.997999999999971692e+02,3.122947652837049759e+02
2.998999999999971351e+02,3.117604353425418822e+02
2.999999999999971578e+02,3.118251306785182351e+02
3.000999999999971806e+02,3.117515466781142095e+02
3.001999999999971465e+02,3.114953662786293194e+02
3.002999999999971124e+02,3.106725335218807800e+02
3.003999999999971351e+02,3.111832276962703077e+02
3.004999999999971578e+02,3.111683290825989161e+02
3.005999999999971237e+02,3.105353905204414104e+02
3.006999999999970896e+02,3.097582384283224997e+02
3.007999999999971124e+02,3.101636322315093253e+02
3.008999999999971351e+02,3.103570869422489409e+02
3.009999999999971010e+02,3.101915355672836654e+02
